Doc. No.,Title,Description,Registered by,Registered date,Status,subcategory
2022197148,Memo re: Utility Fee Adjustment (Hostel),Internal memo detailing proposed rate increase for guest house utility fees.,ovcaf.budget,23/02/2022 4:54,Sent to OC,Administration and Finance: Auxiliary Services & Business Affairs
2022197262,Request for Approval - Vendor Event (Feb 2027),Request for permission to host a campus book fair event.,book.fair.co,27/11/2022 12:45,Sent to AUXILIARY,Administration and Finance: Auxiliary Services & Business Affairs
2022197491,Hostel Maintenance Supply Liquidation,Liquidation Report for petty cash used for cleaning supplies and linens.,guesthouse.staff,10/02/2022 9:41,Received by ACCOUNTING,Administration and Finance: Auxiliary Services & Business Affairs
2022198083,Penalty Notice - Concession C (Waste Disposal),Fine issued to concessionaire for failure to comply with waste segregation rules.,sanitary.eng,25/06/2022 10:50,Sent to AUXILIARY,Administration and Finance: Auxiliary Services & Business Affairs
2022198518,R7 Souvenir Shop Sales Invoice,Official sales receipt for large purchase of university jackets.,auxiliary.mgr,24/09/2022 16:11,Received by ACCOUNTING,Administration and Finance: Auxiliary Services & Business Affairs
2022198970,Cafeteria Concessionaire Application,"New application received from ""Green Eats Food Services"" for vacant slot.",ovcaf.prop,12/04/2022 18:03,Sent to AUXILIARY,Administration and Finance: Auxiliary Services & Business Affairs
2022199014,DV# 126180 - Guest Speaker Lodging,Payment to University Guest House for official visitor accommodation.,ovcaa.staff,08/08/2022 7:44,Received by CASHIER,Administration and Finance: Auxiliary Services & Business Affairs
2022199859,Policy Draft: Campus Concession Fees,Revision of policy manual section on vendor rental rates and fees.,auxiliary.mgr,04/02/2022 18:23,Sent to LEGAL,Administration and Finance: Auxiliary Services & Business Affairs
2022201309,Annual Income Report - Non-Tuition,Summary of all revenue generated by Auxiliary Services FY2026.,ovcaf.staff,20/01/2022 18:41,Sent to BUDGET,Administration and Finance: Auxiliary Services & Business Affairs
2022201997,DV# 126185 - Commission Payment,Payment of commission fees to a licensed campus insurance agent.,auxiliary.staff,23/01/2022 4:32,Received by CASHIER,Administration and Finance: Auxiliary Services & Business Affairs
2022203112,Request to Utilize Open Ground for Fair,Request from an external entity to rent the field for a commercial fair.,external.client,28/07/2022 1:21,Sent to PPD,Administration and Finance: Auxiliary Services & Business Affairs
2022203367,Concessionaire Permit Termination (Vendor D),Notice of termination issued due to repeated contract violations.,legal.office,18/05/2022 19:40,Sent to Vendor D,Administration and Finance: Auxiliary Services & Business Affairs
2022204595,Quarterly Financial Report (Hostel),Submission of Q4 financial performance report for the University Hostel.,ovcaf.budget,02/05/2022 23:25,Sent to OC,Administration and Finance: Auxiliary Services & Business Affairs
2022205128,Souvenir Shop Inventory Report,Annual physical inventory count and valuation report.,property.mgr,08/08/2022 19:24,Sent to ACCOUNTING,Administration and Finance: Auxiliary Services & Business Affairs
2022205562,DV# 126190 - External Training Venue Rental,Payment to an external venue for facility rental used for HR training.,hr.training,18/10/2022 12:44,Received by CASHIER,Administration and Finance: Auxiliary Services & Business Affairs
2022207185,Concessionaire Permit Application - Bookstore,Application for operating rights renewal for the campus bookstore.,ovcaf.prop,13/06/2022 0:03,Sent to AUXILIARY,Administration and Finance: Auxiliary Services & Business Affairs
2022207262,Invoice: Cafeteria Equipment Repair,Invoice for repair services on industrial kitchen equipment (stove).,ovcaf.staff,21/10/2022 21:00,Received by Purchasing,Administration and Finance: Auxiliary Services & Business Affairs
2022207551,Finalized Audit: Auxiliary Services Unit,COA audit findings specific to the revenue remittance processes.,coa.auditor,08/08/2022 13:58,Sent to OC,Administration and Finance: Auxiliary Services & Business Affairs
2022207797,Request to use University Auditorium,Requester: John Santos,acmida.dagalangit,17/04/2022 8:35,Received by OC,Administration and Finance: Facilities & Property Management
2022208035,Work Permit Request: For electrical maintenance at Science Building,Requester: Maria Lopez,acmida.dagalangit,26/01/2022 13:30,Received by PPD,Administration and Finance: Facilities & Property Management
2022208226,Request to borrow projectors,Requester: Geraldine Majumot,glainarose.arquillos,01/08/2022 10:33,Sent to CASS-DEAN from OC,Administration and Finance: Facilities & Property Management
2022208253,Use of IDS Room 19 for data analytics workshop,Requester: Alex Flores,acmida.dagalangit,24/03/2022 16:53,Received by OC,Administration and Finance: Facilities & Property Management
2022208756,ICS Desktop Speaker Request,Requester: Jane Tabucan,sittieshaima.baniaga,10/06/2022 13:59,Sent to SUPPLY from OC,Administration and Finance: Facilities & Property Management
2022209149,Relocate University Coffee Area,Requester: Mark Reyes,acmida.dagalangit,07/12/2022 9:27,Received by OBA,Administration and Finance: Facilities & Property Management
2022209257,Request for Gym Usage for Volleyball tournament,Requester: Cecilia Quijano,acmida.dagalangit,05/12/2022 6:17,Sent to OVCPA from OC,Administration and Finance: Facilities & Property Management
2022209424,Ocular Inspection at PRISM,Requester: Alex Dela Cruz,acmida.dagalangit,20/01/2022 18:27,Terminal Document at OC,Administration and Finance: Facilities & Property Management
2022210137,Conduct Lab Experiments for Chemistry 101,Requester: John Dela Torre,acmida.dagalangit,27/08/2022 10:25,Terminal Document at OC,Administration and Finance: Facilities & Property Management
2022210389,Request to use Gym for Elderly Week,Requester: Maria Santos,acmida.dagalangit,14/10/2022 6:26,Sent to OVCPA from OC,Administration and Finance: Facilities & Property Management
2022210609,Use of Conference Room ,Requester: Geraldine Majumot,glainarose.arquillos,20/04/2022 16:47,Received by OC,Administration and Finance: Facilities & Property Management
2022211029,Work Permit Request for air conditioning repair in Library,Requester: Jane Tabucan,acmida.dagalangit,18/05/2022 17:34,Received by PPD,Administration and Finance: Facilities & Property Management
2022211467,Request to borrow Laptop Requester: Alex Flores,for student workshop,glainarose.arquillos,20/11/2022 13:00,Sent to CASS-DEAN from OC,Administration and Finance: Facilities & Property Management
2022212353,Use of IDS Room 16,Requester: John Santos,acmida.dagalangit,13/05/2022 6:33,Received by OC,Administration and Finance: Facilities & Property Management
2022212852,ICS Desktop Mouse Request for classroom use,Requester: Maria Lopez,sittieshaima.baniaga,09/05/2022 23:18,Sent to SUPPLY from OC,Administration and Finance: Facilities & Property Management
2022213123,Request for Coffee Area Relocation,Requester: Mark Reyes,acmida.dagalangit,24/05/2022 15:39,Received by OBA,Administration and Finance: Facilities & Property Management
2022213197,Request to use Library Hall for thesis defense,Requester: Cecilia Quijano,acmida.dagalangit,20/08/2022 23:44,Sent to OVCPA from OC,Administration and Finance: Facilities & Property Management
2022213233,Ocular Inspection at Workshop,Requester: Alex Dela Cruz,acmida.dagalangit,18/10/2022 20:30,Terminal Document at OC,Administration and Finance: Facilities & Property Management
2022213601,Lab Equipment Borrow Request for Physics lab,Requester: John Dela Torre,acmida.dagalangit,09/10/2022 12:28,Terminal Document at OC,Administration and Finance: Facilities & Property Management
2022214349,Gym Reservation,Requester: Maria Santos,acmida.dagalangit,03/04/2022 16:54,Sent to OVCPA from OC,Administration and Finance: Facilities & Property Management
2022214731,Conference Room Use,Requester: Geraldine Majumot,glainarose.arquillos,18/04/2022 5:22,Received by OC,Administration and Finance: Facilities & Property Management
2022214812,Work Permit Request for plumbing maintenance,Requester: Jane Tabucan,acmida.dagalangit,25/06/2022 15:58,Received by PPD,Administration and Finance: Facilities & Property Management
2022215392,Borrow Projector,Requester: Alex Flores,glainarose.arquillos,07/12/2022 0:09,Sent to CASS-DEAN from OC,Administration and Finance: Facilities & Property Management
2022215888,Use of IDS Room 20,Requester: John Santos,acmida.dagalangit,26/07/2022 19:41,Received by OC,Administration and Finance: Facilities & Property Management
2022216508,ICS Desktop Keyboard Request,Requester: Maria Lopez,sittieshaima.baniaga,02/10/2022 21:09,Sent to SUPPLY from OC,Administration and Finance: Facilities & Property Management
2022217036,Request for Coffee Area Reorganization,Requester: Mark Reyes,acmida.dagalangit,22/01/2022 17:01,Received by OBA,Administration and Finance: Facilities & Property Management
2022217311,Request to use Auditorium Requester: Cecilia Quijano,for graduation rehearsal,acmida.dagalangit,16/07/2022 2:46,Sent to OVCPA from OC,Administration and Finance: Facilities & Property Management
2022218520,Ocular Inspection at Science Lab,Requester: Alex Dela Cruz,acmida.dagalangit,03/06/2022 23:25,Terminal Document at OC,Administration and Finance: Facilities & Property Management
2022219356,Request to borrow Microscope for biology lab,Requester: John Dela Torre,acmida.dagalangit,16/01/2022 11:27,Terminal Document at OC,Administration and Finance: Facilities & Property Management
2022219725,Gym Reservation for volleyball practice,Requester: Maria Santos,acmida.dagalangit,24/03/2022 19:07,Sent to OVCPA from OC,Administration and Finance: Facilities & Property Management
2022219854,Vacancy Announcement – Legal Officer II,Job posting detailing required qualifications and documentary requirements.,hr.recruitment,20/11/2022 18:41,Sent to OC for Approval,Administration and Finance: Human Resources (Acquisition & Contracts)
2022220493,Renewal of Contract of Service (CoS),"Renewal for Ms. A. Perez (Clerk I) for 6 months (July 1 - Dec 31, 2026).",hr.admin,10/10/2022 20:13,Sent to Legal,Administration and Finance: Human Resources (Acquisition & Contracts)
2022221356,Shortlist Approval – Guidance Counselor III,HR recommends top three candidates for panel interview.,hr.recruitment,08/03/2022 19:40,Sent to OVCSA,Administration and Finance: Human Resources (Acquisition & Contracts)
2022221757,Contract for Part-Time Faculty (English),Draft contract for Dr. L. Gomez teaching 9 units for 1st Semester.,acad.evaluator,15/02/2022 15:56,Sent to CASS-DEAN,Administration and Finance: Human Resources (Acquisition & Contracts)
2022221808,Memo re: Non-Renewal of CoS,Formal notification for Contract of Service personnel due to project termination.,hr.admin,26/03/2022 23:42,Sent to Personnel,Administration and Finance: Human Resources (Acquisition & Contracts)
2022222037,Special Order No. 2026-10-A,Appointment of Prof. R. Cruz as Research Coordinator (1-year term).,chancellor,18/05/2022 1:24,Sent to OVCRE,Administration and Finance: Human Resources (Acquisition & Contracts)
2022223075,Request for Renewal of Appointment – Permanent,Department Head's recommendation to renew permanent administrative staff.,dept.head,02/09/2022 20:53,Sent to HRMO,Administration and Finance: Human Resources (Acquisition & Contracts)
2022223847,Interview Schedule – Accounting Staff I,Notice detailing time and date for shortlisted candidates' final interviews.,hr.recruitment,18/04/2022 5:22,Sent to Applicants,Administration and Finance: Human Resources (Acquisition & Contracts)
2022224792,Legal Review of Appointment Contracts,Review of five contract drafts (CoS and Part-Time) for compliance.,legal.office,07/06/2022 15:30,Received by HRMO,Administration and Finance: Human Resources (Acquisition & Contracts)
2022225139,Personnel Action Form – Change in Designation,Form documenting appointment change for Ms. M. Diaz from Clerk to Administrative Assistant.,hr.admin,09/03/2022 23:44,Sent to Payroll,Administration and Finance: Human Resources (Acquisition & Contracts)
2022225287,Job Application Documents,Application packet received from Ms. H. Santos for vacant HR position.,applicant.santos,28/07/2022 20:25,Received by HRMO,Administration and Finance: Human Resources (Acquisition & Contracts)
2022227181,Endorsement Letter – External Candidate,Endorsement from Former Chancellor recommending a candidate for University Architect.,external.office,04/03/2022 12:47,Sent to OC,Administration and Finance: Human Resources (Acquisition & Contracts)
2022228392,Special Order – Acting Registrar Designation,Designation of Dr. E. Reyes as Acting Registrar (while Registrar is on leave).,ovcaa.office,28/06/2022 1:10,Sent to Academic Units,Administration and Finance: Human Resources (Acquisition & Contracts)
2022228807,BOR Resolution Alignment – CoS Policy,Memo ensuring Contract of Service policy aligns with the latest BOR mandates.,hr.admin,02/09/2022 18:23,Sent to Legal,Administration and Finance: Human Resources (Acquisition & Contracts)
2022229562,Renewal of Appointment – Lecturer II (Math),Renewal for Prof. T. Lopez for AY 2026-2027.,csm.dean,29/06/2022 18:09,Sent to OVCAA,Administration and Finance: Human Resources (Acquisition & Contracts)
2022230009,Request for Extension of CoS,Request from Dean to extend current project staff contract due to project overrun.,proj.director,05/02/2022 6:18,Sent to HRMO,Administration and Finance: Human Resources (Acquisition & Contracts)
2022230485,Finalized Contract of Service (CoS),Signed contract document for Ms. J. Smith (Research Assistant).,hr.admin,11/03/2022 11:24,Terminal Document at HRMO,Administration and Finance: Human Resources (Acquisition & Contracts)
2022231268,Vacancy Announcement – Engineering Faculty,Vacancy for three Assistant Professor positions in Civil Engineering.,hr.recruitment,19/12/2022 22:50,Sent to COE-DEAN,Administration and Finance: Human Resources (Acquisition & Contracts)
2022231845,Interview Panel Formation Memo,Memo constituting the final interview panel for the University Legal Officer position.,legal.office,28/02/2022 5:58,Sent to Panel Members,Administration and Finance: Human Resources (Acquisition & Contracts)
2022232049,Non-Renewal Notice – Part-Time Instructor,Formal notification to instructor of non-renewal due to reduced course loads.,acad.evaluator,18/05/2022 19:46,Sent to Personnel,Administration and Finance: Human Resources (Acquisition & Contracts)
2022232822,Endorsement for Initial Appointment,Dean's endorsement of new faculty hire (Dr. P. Cruz) for Chancellor's approval.,cas.dean,03/06/2022 23:29,Sent to OC,Administration and Finance: Human Resources (Acquisition & Contracts)
2022234053,Memorandum re: Probationary Status Review,Reminder to Department Heads regarding deadlines for reviewing probationary employees.,hr.admin,25/07/2022 15:33,Sent to Unit Heads,Administration and Finance: Human Resources (Acquisition & Contracts)
2022236166,Draft Appointment Letter – Director Status,Draft letter for newly appointed Director of Planning and Development.,ovcpd.staff,17/09/2022 1:05,Sent to OC,Administration and Finance: Human Resources (Acquisition & Contracts)
2022238461,Legal Consultation: Appointment Term Limits,Request for legal advice on term limits for administrative appointments.,ovcaa.office,18/10/2022 1:21,Sent to Legal Office,Administration and Finance: Human Resources (Acquisition & Contracts)
2022141580,Personnel Action Form – Promotion,Form documenting promotion of Ms. C. Reyes from Admin Asst. I to Admin Asst. II.,hr.admin,02/06/2022 19:09,Sent to Payroll,Administration and Finance: Human Resources (Acquisition & Contracts)
2022142190,Notice of Application Status,Letter informing non-shortlisted candidate of the closure of the hiring process.,hr.recruitment,09/05/2022 5:39,Sent to Applicant,Administration and Finance: Human Resources (Acquisition & Contracts)
2022143496,Special Order – Designation of OIC,Designation of Dr. A. Diaz as Officer-in-Charge of the Extension Office (1 month).,chancellor,24/10/2022 16:24,Sent to OVCRE,Administration and Finance: Human Resources (Acquisition & Contracts)
2022143749,Renewal Request – Auxiliary Staff,Request to renew 5 contract workers in Motorpool and Property.,ppd.admin,09/02/2022 22:41,Sent to HRMO,Administration and Finance: Human Resources (Acquisition & Contracts)
2022150578,Final List of Eligible Candidates,Certified list of candidates eligible for appointment to permanent HR position.,hr.recruitment,05/06/2022 20:09,Sent to OC,Administration and Finance: Human Resources (Acquisition & Contracts)
2022151773,Certification of Eligibility (CSC),Document confirming faculty member's eligibility for permanent status based on CSC standards.,legal.office,04/08/2022 18:02,Sent to HRMO,Administration and Finance: Human Resources (Acquisition & Contracts)
2022152343,Monetization Request - John Dela Cruz,Monetization Request - John Dela Cruz (30 days),john.delacruz,16/02/2022 5:39,Received by HRMO,Administration and Finance: Human Resources (Benefits & Compensation)
2022154413,Letter from PhilHealth,4th Gawad Pagkilala: PhilHealth Champions 2024,janine.santos,06/10/2022 22:02,Received by HRMO,Administration and Finance: Human Resources (Benefits & Compensation)
2022158513,LBC Box for Monetization Documents,From Geraldine Majumot,marvin.lopez,23/02/2022 7:19,Sent to OC from OC,Administration and Finance: Human Resources (Benefits & Compensation)
2022159649,Letter from GSIS,Electronic remittance file,cheryl.mendoza,21/07/2022 3:18,Sent to ACCOUNTING from OVCAF,Administration and Finance: Human Resources (Benefits & Compensation)
2022161014,Letter from GSIS,Requester: Norsalem Dimaporo,paul.ramos,17/10/2022 21:46,Received by SUPPLY,Administration and Finance: Human Resources (Benefits & Compensation)
2022161572,Monetization,Christy G. Dequit,geraldine.majumot,17/05/2022 10:10,Sent to HRMO from OC,Administration and Finance: Human Resources (Benefits & Compensation)
2022161672,TERMINAL REPORT,Geraldine Majumot,janine.santos,28/09/2022 7:39,Received by HRMO,Administration and Finance: Human Resources (Benefits & Compensation)
2022162053,Letter from GSIS,From Alexis Arumpac of GSIS,marvin.lopez,07/02/2022 7:33,Sent to HRMO from ACCOUNTING,Administration and Finance: Human Resources (Benefits & Compensation)
2022167833,Notice of PAG-IBIG Fund Membership,Requester: Cecilia Quijano,cheryl.mendoza,07/04/2022 19:57,Received by OVCAF,Administration and Finance: Human Resources (Benefits & Compensation)
2022171236,Letter from GSIS,Requester: Alexis Arumpac,paul.ramos,18/02/2022 1:25,Sent to HRMO from OC,Administration and Finance: Human Resources (Benefits & Compensation)
2022172407,Letter from Sunlife,Conduct a Financial Literacy Workshop,geraldine.majumot,29/04/2022 14:21,Sent to COE-DEAN from HRMO,Administration and Finance: Human Resources (Benefits & Compensation)
2022175474,Letter from Geraldine D. Majumot,Request for APSDP,janine.santos,15/11/2022 10:38,Received by OVCAF,Administration and Finance: Human Resources (Benefits & Compensation)
2022179621,Monetization Request - Alex Flores,Monetization Request - Alex Flores (30 days),marvin.lopez,23/12/2022 1:15,Received by HRMO,Administration and Finance: Human Resources (Benefits & Compensation)
2022180128,Letter from GSIS,Electronic remittance file,cheryl.mendoza,03/09/2022 1:26,Sent to ACCOUNTING from OVCAF,Administration and Finance: Human Resources (Benefits & Compensation)
2022180990,LBC Box for Monetization Documents,From Christy Dequit,paul.ramos,14/03/2022 14:05,Sent to OC from OC,Administration and Finance: Human Resources (Benefits & Compensation)
2022182823,Letter from PhilHealth,4th Gawad Pagkilala: PhilHealth Champions 2024,geraldine.majumot,20/12/2022 19:27,Received by HRMO,Administration and Finance: Human Resources (Benefits & Compensation)
2022183247,Monetization,Request - Geraldine Majumot,janine.santos,29/01/2022 11:09,Sent to HRMO from OC,Administration and Finance: Human Resources (Benefits & Compensation)
2022184767,TERMINAL REPORT,Christy Dequit,marvin.lopez,08/11/2022 12:23,Received by HRMO,Administration and Finance: Human Resources (Benefits & Compensation)
2022187958,Letter from GSIS,Requester: Alexis Arumpac,cheryl.mendoza,10/06/2022 0:04,Sent to HRMO from ACCOUNTING,Administration and Finance: Human Resources (Benefits & Compensation)
2022191299,Notice of PAG-IBIG Fund Membership,Requester: Cecilia Quijano,paul.ramos,11/06/2022 1:40,Received by OVCAF,Administration and Finance: Human Resources (Benefits & Compensation)
2022191392,Letter from Sunlife,Financial Literacy Seminar,geraldine.majumot,21/08/2022 11:44,Sent to COE-DEAN from HRMO,Administration and Finance: Human Resources (Benefits & Compensation)
2022191620,Letter from Geraldine D. Majumot,Request for APSDP,janine.santos,04/01/2022 23:38,Received by OVCAF,Administration and Finance: Human Resources (Benefits & Compensation)
2022191755,Monetization Request - John Dela Cruz,Monetization Request - John Dela Cruz (30 days),marvin.lopez,21/06/2022 5:40,Received by HRMO,Administration and Finance: Human Resources (Benefits & Compensation)
2022192658,Letter from PhilHealth,4th Gawad Pagkilala: PhilHealth Champions 2024,cheryl.mendoza,14/09/2022 9:22,Received by HRMO,Administration and Finance: Human Resources (Benefits & Compensation)
2022194919,LBC Box for Monetization Documents,From Geraldine Majumot,paul.ramos,12/10/2022 10:04,Sent to OC from OC,Administration and Finance: Human Resources (Benefits & Compensation)
2022195823,Letter from GSIS,Electronic remittance file,geraldine.majumot,04/01/2022 17:19,Sent to ACCOUNTING from OVCAF,Administration and Finance: Human Resources (Benefits & Compensation)
2022197845,Letter from GSIS,Requester: Norsalem Dimaporo,janine.santos,28/04/2022 8:47,Received by SUPPLY,Administration and Finance: Human Resources (Benefits & Compensation)
2022199108,Monetization,Christy G. Dequit,marvin.lopez,03/09/2022 20:18,Sent to HRMO from OC,Administration and Finance: Human Resources (Benefits & Compensation)
2022199357,TERMINAL REPORT,Geraldine Majumot,cheryl.mendoza,13/09/2022 1:05,Received by HRMO,Administration and Finance: Human Resources (Benefits & Compensation)
2022201633,Letter from GSIS,From Alexis Arumpac of GSIS,paul.ramos,15/10/2022 3:57,Sent to HRMO from ACCOUNTING,Administration and Finance: Human Resources (Benefits & Compensation)
2022202010,Overtime Approval Request,Request for overtime reimbursement for Chancellor and other MSU-IIT Officials,khaled.dalupang,03/11/2022 8:21,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022207932,Overtime Approval Request Form,"John Santos, Maria Lopez",glainarose.arquillos,28/03/2022 10:09,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022210143,Overtime Approval Request Form,"Alex Flores, Jane Tabucan",glainarose.arquillos,08/01/2022 4:04,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022210206,Overtime Approval Request Form,"Requested Overtime: Geraldine Majumot, Mark Reyes, Cecilia Quijano",glainarose.arquillos,10/09/2022 15:07,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022213503,"Samuel Kirit, Alex Dela Cruz, John Dela Torre","Overtime Approval Request Form for Dec 7,8,14,15,21,22,2024",samuel.kirit,30/06/2022 12:42,Received by HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022215300,Overtime Approval Request Form,"Maria Santos, Geraldine Majumot, John Dela Cruz",glainarose.arquillos,26/09/2022 19:57,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022215445,KEN F. SUSONTeam,"Overtime Approved Request Form for Nov 23 & 30,2024",samuel.kirit,03/03/2022 9:34,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022215540,Mark Reyes et.al,"Overtime Approval Request Form Nov 1-3,2024",samuel.kirit,17/06/2022 20:26,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022216598,"Alex Flores, Geraldine Majumot","Overtime request for Dec 2-6, 2024",glainarose.arquillos,03/02/2022 19:08,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022218660,"Jane Santos, John Dela Torre","Overtime request for Dec 9-13, 2024",khaled.dalupang,12/11/2022 2:52,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022220988,"Cecilia Quijano, Mark Reyes","Overtime for Dec 14-16, 2024",glainarose.arquillos,06/11/2022 5:15,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022221165,"Samuel Kirit, Maria Lopez","Overtime request for Dec 17-19, 2024",samuel.kirit,24/10/2022 10:36,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022226617,"Alex Flores, Jane Tabucan","Overtime request for Dec 20-22, 2024",glainarose.arquillos,23/06/2022 4:02,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022230513,"John Santos, Geraldine Majumot","Overtime request for Dec 23-25, 2024",khaled.dalupang,01/10/2022 8:31,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022232292,"Mark Reyes, Alex Dela Cruz","Overtime for Dec 26-28, 2024",glainarose.arquillos,22/02/2022 7:35,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022232999,"Jane Santos, Cecilia Quijano","Overtime request for Nov 29-Dec 1, 2024",samuel.kirit,02/01/2022 20:24,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022234057,"Alex Flores, Maria Santos","Overtime request for Dec 3-5, 2024",glainarose.arquillos,19/08/2022 8:11,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022234192,"John Dela Cruz, Geraldine Majumot","Overtime request for Dec 6-8, 2024",khaled.dalupang,13/07/2022 10:52,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022239541,"Mark Reyes, Jane Tabucan","Overtime for Dec 9-11, 2024",glainarose.arquillos,17/04/2022 13:01,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022242663,"Alex Flores, Cecilia Quijano","Overtime request for Dec 12-14, 2024",samuel.kirit,17/05/2022 6:31,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022243453,"John Santos, Mark Reyes","Overtime request for Dec 15-17, 2024",glainarose.arquillos,09/03/2022 12:36,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022244017,"Jane Tabucan, Geraldine Majumot","Overtime for Dec 18-20, 2024",khaled.dalupang,10/12/2022 18:06,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022244295,"Alex Dela Cruz, Maria Santos","Overtime request for Dec 21-23, 2024",glainarose.arquillos,24/01/2022 10:06,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022245149,"John Dela Torre, Jane Santos","Overtime request for Dec 24-26, 2024",samuel.kirit,18/10/2022 9:30,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022245874,"Cecilia Quijano, Mark Reyes","Overtime request for Dec 27-29, 2024",glainarose.arquillos,22/11/2022 14:36,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022246296,"Alex Flores, Geraldine Majumot","Overtime request for Nov 30-Dec 2, 2024",khaled.dalupang,24/07/2022 14:02,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022249305,"John Dela Cruz, Jane Tabucan","Overtime for Dec 3-5, 2024",glainarose.arquillos,07/10/2022 5:43,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022250708,"Mark Reyes, Alex Dela Cruz","Overtime request for Dec 6-8, 2024",samuel.kirit,24/06/2022 3:20,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022251745,"Jane Santos, Maria Santos","Overtime request for Dec 9-11, 2024",glainarose.arquillos,24/10/2022 15:58,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022253011,"John Santos, Cecilia Quijano","Overtime request for Dec 12-14, 2024",khaled.dalupang,19/11/2022 2:17,Terminal Document at HRMO,Administration and Finance: Human Resources (Overtime & Attendance)
2022256817,Special Order No. 2026-05-D,"Designation of Ms. L. Garcia as Acting Department Head (May 1 - Aug 31, 2026).",hr.admin,28/08/2022 20:59,Sent to OC for Approval,Administration and Finance: Human Resources (Personnel Records)             
2022259851,Clearance Form – Faculty Resignation,Final institutional clearance checklist for Prof. A. Santos.,exit.clearance,08/03/2022 17:47,Sent to HRMO from DEAN,Administration and Finance: Human Resources (Personnel Records)             
2022260026,Request for Certified True Copy of Service Record,Requester: Engr. R. Cruz for retirement application purposes.,records.unit,24/10/2022 0:20,Received by HRMO,Administration and Finance: Human Resources (Personnel Records)             
2022260827,Renewal of Contract of Service (CoS),"Renewal for Mr. J. David (Driver) for 6 months (July 1 - Dec 31, 2026).",ovcaf.staff,13/11/2022 11:27,Sent to LEGAL,Administration and Finance: Human Resources (Personnel Records)             
2022261705,Memo re: Submission of Annual IPCR,Reminder to all permanent personnel to submit Individual Performance Review (IPCR).,hr.admin,13/08/2022 16:01,Sent to All Units,Administration and Finance: Human Resources (Personnel Records)             
2022263236,Certification of Leave Without Pay,Official certification for Ms. S. Gomez covering medical leave period.,leave.unit,07/09/2022 7:27,Terminal Document at HRMO,Administration and Finance: Human Resources (Personnel Records)             
2022265611,Request for Reassignment/Transfer,Formal request by Mr. D. Ramos to transfer from OC to the PPD office.,ramos.staff,19/09/2022 14:00,Sent to OC,Administration and Finance: Human Resources (Personnel Records)             
2022265623,201 File Update Checklist – New Hire,Checklist confirming completeness of documents for Ms. B. Perez.,hr.recruitment,27/06/2022 16:48,Terminal Document at HRMO,Administration and Finance: Human Resources (Personnel Records)             
2022268054,Special Order – Ad Hoc Committee,Creation of a committee to review campus motorpool policies.,chancellor,22/06/2022 20:22,Sent to Legal Office,Administration and Finance: Human Resources (Personnel Records)             
2022268693,Request for Promotion Endorsement (Assoc Prof),Endorsement of Dr. K. Lim for promotion from Asst Prof V to Assoc Prof I.,dept.chair,17/03/2022 20:22,Sent to OVCAA,Administration and Finance: Human Resources (Personnel Records)             
2022270429,Official Resignation Letter,"Resignation submitted by Ms. E. Dela Cruz (Effective June 30, 2026).",dela.cruz,10/04/2022 21:15,Received by HRMO,Administration and Finance: Human Resources (Personnel Records)             
